300	-33.49863527	1.357168026
500	-23.34982175	1.63362818
750	-21.11034656	1.319468915
1000	-19.68411466	1.382300768
2500	-13.28415796	1.099557429
5000	-6.348408237	0.879645943
7500	-6.406703017	0.753982237
10000	-4.54487563	0.691150384
12500	-4.823078096	0.471238898
15000	-4.018296856	0.376991118
17500	-3.427922757	0.439822972
20000	-2.129106618	0.301592895
30000	-2.129106618	0.452389342
35000	-1.659484701	0.175929189
50000	-3.071678361	0.125663706
75000	-3.237016399	0.09424778
100000	-3.521825181	0.125663706
125000	-4.193997201	0.078539816
150000	-4.498796532	0.065973446
200000	-4.193997201	0.050265482
500000	-2.812378818	0.09424778
1000000	-2.812378818	0
