750	2.968805058
1000	3.015928947
2500	2.513274123
5000	2.136283004
6000	1.960353816
7000	1.759291886
8000	1.658760921
9000	1.639911365
10000	1.570796327
12500	1.413716694
15000	1.319468915
17500	1.209513172
20000	1.130973355
21000	1.161132645
22000	1.105840614
23000	1.098300792
24000	0.633345079
25000	0.9424777961
26000	0.9801769079
27000	0.9500176184
28000	0.9148317807
29000	0.9475043443
30000	0.9047786842
35000	0.7916813487
40000	0.8042477193
45000	0.6785840132
50000	0.6283185307
75000	0.471238898
100000	0.3769911184
250000	0.1256637061
500000	0.1256637061
750000	0.09424777961
1000000	0.06283185307
2000000	0.05026548246
2500000	0
5000000	0
7500000	0
10000000	-0.06283185307
