 0.00000000e+00  2.28037321e-22 
 1.00000000e-09  0.00000000e+00 
 2.00000000e-09  8.85956618e-14 
 4.00000000e-09  3.99026949e-13 
 8.00000000e-09  1.46407311e-12 
 1.60000000e-08  5.72508143e-12 
 3.20000000e-08  2.27730543e-11 
 6.40000000e-08  9.09781981e-11 
 1.28000000e-07  3.63887377e-10 
 2.28000000e-07  1.21722140e-09 
 3.28000000e-07  2.80083904e-09 
 4.28000000e-07  5.27694903e-09 
 5.28000000e-07  8.64895041e-09 
 6.28000000e-07  1.29214353e-08 
 7.28000000e-07  1.81003338e-08 
 8.28000000e-07  2.41930986e-08 
 9.28000000e-07  3.12089404e-08 
 1.02800000e-06  3.91591174e-08 
 1.12800000e-06  4.80572958e-08 
 1.22800000e-06  5.79199850e-08 
 1.32800000e-06  6.87670721e-08 
 1.42800000e-06  8.06224655e-08 
 1.52800000e-06  9.35148784e-08 
 1.62800000e-06  1.07478771e-07 
 1.72800000e-06  1.23127643e-07 
 1.82800000e-06  1.40538948e-07 
 1.92800000e-06  1.59233489e-07 
 2.02800000e-06  1.79294953e-07 
 2.12800000e-06  2.00823862e-07 
 2.22800000e-06  2.23940987e-07 
 2.32800000e-06  2.48791466e-07 
 2.42800000e-06  2.75549769e-07 
 2.52800000e-06  3.04425685e-07 
 2.62800000e-06  3.35671530e-07 
 2.72800000e-06  3.69590852e-07 
 2.82800000e-06  4.06548901e-07 
 2.92800000e-06  4.46985261e-07 
 3.02800000e-06  4.91429073e-07 
 3.12800000e-06  5.40517377e-07 
 3.22800000e-06  5.95017218e-07 
 3.32800000e-06  6.55852290e-07 
 3.42800000e-06  7.24135044e-07 
 3.52800000e-06  8.01205386e-07 
 3.62800000e-06  8.88677310e-07 
 3.72800000e-06  9.88495105e-07 
 3.82800000e-06  1.10300109e-06 
 3.92800000e-06  1.23501723e-06 
 4.02800000e-06  1.38794354e-06 
 4.12800000e-06  1.56587663e-06 
 4.22800000e-06  1.77375255e-06 
 4.32800000e-06  2.01751903e-06 
 4.42800000e-06  2.30434295e-06 
 4.52800000e-06  2.64286040e-06 
 4.62800000e-06  3.04347801e-06 
 4.72800000e-06  3.51873606e-06 
 4.82800000e-06  4.08374609e-06 
 4.92800000e-06  4.75671807e-06 
 5.02800000e-06  5.55959578e-06 
 5.12800000e-06  6.51882220e-06 
 5.22800000e-06  7.66626173e-06 
 5.32800000e-06  9.04031124e-06 
 5.42800000e-06  1.06872384e-05 
 5.52800000e-06  1.26627935e-05 
 5.62800000e-06  1.50341516e-05 
 5.72800000e-06  1.78822495e-05 
 5.82800000e-06  2.13046013e-05 
 5.92800000e-06  2.54186865e-05 
 6.02800000e-06  3.03660273e-05 
 6.12800000e-06  3.63170947e-05 
 6.22800000e-06  4.34772078e-05 
 6.32800000e-06  5.20936260e-05 
 6.42800000e-06  6.24640700e-05 
 6.52800000e-06  7.49469527e-05 
 6.62800000e-06  8.99736545e-05 
 6.72800000e-06  1.08063237e-04 
 6.82800000e-06  1.29840059e-04 
 6.92800000e-06  1.56054844e-04 
 7.02800000e-06  1.87609820e-04 
 7.12800000e-06  2.25588683e-04 
 7.22800000e-06  2.71292195e-04 
 7.32800000e-06  3.26280361e-04 
 7.42800000e-06  3.92422260e-04 
 7.52800000e-06  4.71954620e-04 
 7.62800000e-06  5.67550318e-04 
 7.72800000e-06  6.82397973e-04 
 7.82800000e-06  8.20293702e-04 
 7.92800000e-06  9.85745841e-04 
 8.02800000e-06  1.18409303e-03 
 8.12800000e-06  1.42163529e-03 
 8.22800000e-06  1.70577671e-03 
 8.32800000e-06  2.04517678e-03 
 8.42800000e-06  2.44990541e-03 
 8.52800000e-06  2.93159410e-03 
 8.62800000e-06  3.50357280e-03 
 8.72800000e-06  4.18097850e-03 
 8.82800000e-06  4.98081859e-03 
 8.92800000e-06  5.92196966e-03 
 9.02800000e-06  7.02509119e-03 
 9.12800000e-06  8.31243570e-03 
 9.22800000e-06  9.80754143e-03 
 9.32800000e-06  1.15348024e-02 
 9.42800000e-06  1.35189232e-02 
 9.52800000e-06  1.57842788e-02 
 9.62800000e-06  1.83542169e-02 
 9.72800000e-06  2.12503467e-02 
 9.82800000e-06  2.44918708e-02 
 9.92800000e-06  2.80950087e-02 
 1.00280000e-05  3.20725576e-02 
 1.01280000e-05  3.64336185e-02 
 1.02280000e-05  4.11834985e-02 
 1.03280000e-05  4.63237832e-02 
 1.04280000e-05  5.18525565e-02 
 1.05280000e-05  5.77647371e-02 
 1.06280000e-05  6.40524939e-02 
 1.07280000e-05  7.07057034e-02 
 1.08280000e-05  7.77124186e-02 
 1.09280000e-05  8.50593200e-02 
 1.10280000e-05  9.27321324e-02 
 1.11280000e-05  1.00715994e-01 
 1.12280000e-05  1.08995773e-01 
 1.13280000e-05  1.17556329e-01 
 1.14280000e-05  1.26382721e-01 
 1.15280000e-05  1.35460374e-01 
 1.16280000e-05  1.44775195e-01 
 1.17280000e-05  1.54313660e-01 
