 1.00000000e+02  1.00205199e+00 -4.04573414e-04 
 1.25892541e+02  1.00205191e+00 -5.09327714e-04 
 1.58489319e+02  1.00205177e+00 -6.41205527e-04 
 1.99526231e+02  1.00205156e+00 -8.07229783e-04 
 2.51188643e+02  1.00205123e+00 -1.01624179e-03 
 3.16227766e+02  1.00205070e+00 -1.27937202e-03 
 3.98107171e+02  1.00204986e+00 -1.61063277e-03 
 5.01187234e+02  1.00204853e+00 -2.02766416e-03 
 6.30957344e+02  1.00204643e+00 -2.55267323e-03 
 7.94328235e+02  1.00204309e+00 -3.21361580e-03 
 1.00000000e+03  1.00203779e+00 -4.04568385e-03 
 1.25892541e+03  1.00202941e+00 -5.09317680e-03 
 1.58489319e+03  1.00201612e+00 -6.41185508e-03 
 1.99526231e+03  1.00199505e+00 -8.07189840e-03 
 2.51188643e+03  1.00196167e+00 -1.01616210e-02 
 3.16227766e+03  1.00190876e+00 -1.27921302e-02 
 3.98107171e+03  1.00182492e+00 -1.61031553e-02 
 5.01187234e+03  1.00169206e+00 -2.02703127e-02 
 6.30957344e+03  1.00148156e+00 -2.55141068e-02 
 7.94328235e+03  1.00114810e+00 -3.21109743e-02 
 1.00000000e+04  1.00062000e+00 -4.04066139e-02 
 1.25892541e+04  9.99784015e-01 -5.08316310e-02 
 1.58489319e+04  9.98461576e-01 -6.39189851e-02 
 1.99526231e+04  9.96371923e-01 -8.03215359e-02 
 2.51188643e+04  9.93075705e-01 -1.00825518e-01 
 3.16227766e+04  9.87890521e-01 -1.26350954e-01 
 3.98107171e+04  9.79769016e-01 -1.57921074e-01 
 5.01187234e+04  9.67134042e-01 -1.96567608e-01 
 6.30957344e+04  9.47682448e-01 -2.43116275e-01 
 7.94328235e+04  9.18215149e-01 -2.97773569e-01 
 1.00000000e+05  8.74646797e-01 -3.59440879e-01 
 1.25892541e+05  8.12490334e-01 -4.24789519e-01 
 1.58489319e+05  7.28189630e-01 -4.87448566e-01 
 1.99526231e+05  6.21372834e-01 -5.38162076e-01 
 2.51188643e+05  4.97107310e-01 -5.66931455e-01 
 3.16227766e+05  3.66130508e-01 -5.67000838e-01 
 3.98107171e+05  2.41687380e-01 -5.38310941e-01 
 5.01187234e+05  1.34580099e-01 -4.87527293e-01 
 6.30957344e+05  4.99615198e-02 -4.24616648e-01 
 7.94328235e+05 -1.24767117e-02 -3.58846904e-01 
 1.00000000e+06 -5.62618197e-02 -2.96612337e-01 
