100	-31.15281703	1.507964474
250	-27.82413252	1.319468915
500	-22.68164232	1.507964474
750	-20	1.507964474
1000	-17.39843247	1.445132621
2000	-11.76543414	1.256637061
3000	-7.889033617	0.9801769079
4000	-6.305408696	1.105840614
5000	-5.468929481	1.005309649
6000	-4.082399653	0.9047786842
7000	-3.375840406	0.879645943
7500	-3.595748092	0.7539822369
8000	-2.849261632	0.7539822369
9000	-2.352789957	0.6785840132
10000	-2.204309596	0.5654866776
12500	-1.734687679	0.471238898
15000	-1.138097027	0.3769911184
17500	-1.313575513	0.1979203372
20000	-1.138097027	0.163362818
22500	-0.9843604534	0.07068583471
25000	-1.138097027	0
27500	-0.9660935915	0
30000	-0.9843604534	-0.07539822369
35000	-1.027898838	-0.1759291886
40000	-1.313575513	-0.2513274123
45000	-1.492672366	-0.3392920066
50000	-1.675539955	-0.3769911184
55000	-1.86234048	-0.4838052687
60000	-2.204309596	-0.5277875658
62500	-2.204309596	-0.5497787144
65000	-2.248443584	-0.571769863
70000	-2.448128002	-0.6597344573
72500	-2.803574063	-0.6377433087
75000	-2.803574063	-0.6597344573
76000	-2.803574063	-0.6685309167
77000	-3.012882737	-0.725707903
77500	-3.012882737	-0.6330309197
78000	-3.012882737	-0.7351326809
79000	-3.227360045	-0.694920295
80000	-3.227360045	-0.7037167544
85000	-3.595748092	-0.7476990516
90000	-3.821368301	-0.7916813487
95000	-3.821368301	-0.7759733854
100000	-4.053005752	-0.8168140899
150000	-6.31506505	-1.055575132
200000	-8.61327707	-1.105840614
250000	-10.27276177	-1.162389282
500000	-15.84783379	-1.319468915
750000	-20.14357169	-1.460840584
1000000	-23.03722759	-1.319468915
2000000	-28.10237187	-2.010619298
