300		-30.4614818	1.357168026
500		-26.03144373	1.63362818
750		-22.52313535	1.319468915
1000		-20.04321374	1.382300768
2500		-12.30448921	1.099557429
5000		-6.989700043	0.879645943
7500		-4.436974992	0.753982237
10000		-3.010299957	0.691150384
12500		-2.14843848	0.471238898
15000		-1.597008429	0.376991118
17500		-1.227172766	0.439822972
20000		-0.96910013	0.301592895
30000		-0.457574906	0.452389342
35000		-0.340797896	0.175929189
50000		-0.170333393	0.125663706
75000		-0.076529642	0.09424778
100000		-0.043213738	0.125663706
125000		-0.027706281	0.078539816
150000		-0.01925921	0.065973446
200000		-0.010843813	0.050265482
500000		-0.001736831	0.09424778
1000000		-0.000434273	0
