-1.343	-0.9
-1.047	-0.4666666667
-0.965	-0.3733333333
-0.863	-0.28
-0.806	-0.24
-0.724	-0.2066666667
-0.625	-0.1266666667
-0.531	-0.09333333333
-0.409	-0.06
-0.309	-0.04
-0.199	-0.02666666667
-0.146	-0.03333333333
0.084	0.006666666667
0.235	0.2133333333
0.261	0.3
0.318	0.6533333333
0.343	0.9
0.379	1.44
0.405	2.06
0.42	2.553333333
0.434	3.12
0.448	3.813333333
0.457	4.353333333
0.464	4.86
0.476	5.82
0.481	6.206666667
0.485	6.66
0.485	6.72
0.493	7.653333333
0.479	8.28
0.501	8.766666667
0.508	9.72
0.509	10.04
