-1.71	-2.073333333
-1.646	-1.946666667
-1.538	-1.753333333
-1.487	-1.693333333
-1.385	-1.546666667
-1.311	-1.466666667
-1.211	-1.36
-1.114	-1.273333333
-1.033	-1.22
-0.953	-1.153333333
-0.838	-1.106666667
-0.809	-1.12
-0.758	-1.1
-0.727	-0.9533333333
-0.686	-0.96
-0.601	-1.026666667
-0.567	-0.9466666667
-0.506	-0.9466666667
-0.479	-0.9466666667
-0.408	-0.9466666667
-0.346	-0.94
-0.241	-0.9133333333
-0.181	-0.9266666667
-0.126	-0.9466666667
-0.075	-1.04
0.032	-1.02
0.065	-1.02
0.179	-0.8266666667
0.198	-0.78
0.204	-0.7533333333
0.231	-0.72
0.246	-0.6333333333
0.265	-0.5466666667
0.273	-0.5
0.287	-0.4066666667
0.294	-0.36
0.314	-0.2133333333
0.325	-0.1066666667
0.332	-0.08666666667
0.337	-0.01333333333
0.351	0.08666666667
0.371	0.3133333333
0.41	0.6933333333
0.446	1.106666667
0.492	1.673333333
0.514	1.986666667
0.547	2.473333333
0.589	3.086666667
0.604	3.366666667
0.635	3.893333333
0.668	4.393333333
0.691	4.793333333
0.725	5.493333333
0.747	6.12
0.781	6.846666667
0.803	7.34
0.834	7.86
