 1.00000000e+01 -1.21029182e+02  3.13876523e+00 
 1.07977516e+01 -1.19695853e+02  3.13853967e+00 
 1.16591440e+01 -1.18362525e+02  3.13829612e+00 
 1.25892541e+01 -1.17029198e+02  3.13803314e+00 
 1.35935639e+01 -1.15695871e+02  3.13774918e+00 
 1.46779927e+01 -1.14362546e+02  3.13744256e+00 
 1.58489319e+01 -1.13029223e+02  3.13711149e+00 
 1.71132830e+01 -1.11695901e+02  3.13675401e+00 
 1.84784980e+01 -1.10362580e+02  3.13636801e+00 
 1.99526231e+01 -1.09029262e+02  3.13595122e+00 
 2.15443469e+01 -1.07695947e+02  3.13550118e+00 
 2.32630507e+01 -1.06362634e+02  3.13501524e+00 
 2.51188643e+01 -1.05029325e+02  3.13449054e+00 
 2.71227258e+01 -1.03696020e+02  3.13392398e+00 
 2.92864456e+01 -1.02362720e+02  3.13331223e+00 
 3.16227766e+01 -1.01029425e+02  3.13265168e+00 
 3.41454887e+01 -9.96961364e+01  3.13193844e+00 
 3.68694506e+01 -9.83628553e+01  3.13116831e+00 
 3.98107171e+01 -9.70295829e+01  3.13033676e+00 
 4.29866235e+01 -9.56963205e+01  3.12943887e+00 
 4.64158883e+01 -9.43630700e+01  3.12846937e+00 
 5.01187234e+01 -9.30298332e+01  3.12742255e+00 
 5.41169527e+01 -9.16966123e+01  3.12629224e+00 
 5.84341413e+01 -9.03634102e+01  3.12507179e+00 
 6.30957344e+01 -8.90302298e+01  3.12375402e+00 
 6.81292069e+01 -8.76970748e+01  3.12233116e+00 
 7.35642254e+01 -8.63639494e+01  3.12079486e+00 
 7.94328235e+01 -8.50308584e+01  3.11913607e+00 
 8.57695899e+01 -8.36978076e+01  3.11734504e+00 
 9.26118728e+01 -8.23648037e+01  3.11541125e+00 
 1.00000000e+02 -8.10318545e+01  3.11332334e+00 
 1.07977516e+02 -7.96989689e+01  3.11106905e+00 
 1.16591440e+02 -7.83661575e+01  3.10863516e+00 
 1.25892541e+02 -7.70334327e+01  3.10600739e+00 
 1.35935639e+02 -7.57008087e+01  3.10317037e+00 
 1.46779927e+02 -7.43683023e+01  3.10010748e+00 
 1.58489319e+02 -7.30359329e+01  3.09680083e+00 
