750	-46.19969677	3.675663405
1000	-46.02059991	2.890265241
2500	-22.99524641	2.35619449
5000	-18.06179974	1.790707813
7500	-14.3490682	1.460840584
10000	-10.51939645	1.256637061
12500	-6.020599913	1.099557429
15000	-8.519374645	0.848230016
17500	-7.604224834	0.879645943
20000	-6.593503542	0.753982237
30000	-3.338957592	0.753982237
35000	-5.142490199	0.527787566
50000	-4.955689674	0.490088454
75000	-7.24935381	0.235619449
100000	-2.315907143	0.188495559
125000	-3.936414878	0.534070751
150000	-5.179373013	0.150796447
200000	-4.535679346	0.113097336
500000	-5.593338881	0.037699112
1000000	-5.446116888	0.025132741
