 0.00000000e+00  2.00003470e-03  4.21005936e-09 
 1.00000000e-01  1.02004494e-01  1.08926905e-06 
 2.00000000e-01  2.02006771e-01  1.67002997e-05 
 3.00000000e-01  3.01977696e-01  2.41117438e-04 
 4.00000000e-01  4.01504008e-01  3.42658208e-03 
 5.00000000e-01  4.95684601e-01  4.22137338e-02 
 6.00000000e-01  5.63438524e-01  2.57000712e-01 
 7.00000000e-01  5.99966588e-01  6.79752444e-01 
 8.00000000e-01  6.21373636e-01  1.20321069e+00 
 9.00000000e-01  6.35922072e-01  1.77234756e+00 
 1.00000000e+00  6.46782480e-01  2.36604682e+00 
 1.10000000e+00  6.55405190e-01  2.97464925e+00 
 1.20000000e+00  6.62511437e-01  3.59335138e+00 
 1.30000000e+00  6.68556040e-01  4.21912410e+00 
 1.40000000e+00  6.73808843e-01  4.85017024e+00 
 1.50000000e+00  6.78449987e-01  5.48529004e+00 
 1.60000000e+00  6.82605193e-01  6.12364621e+00 
 1.70000000e+00  6.86365465e-01  6.76463267e+00 
 1.80000000e+00  6.89798685e-01  7.40779729e+00 
 1.90000000e+00  6.92956782e-01  8.05279425e+00 
 2.00000000e+00  6.95880332e-01  8.69935330e+00 
 2.10000000e+00  6.98601620e-01  9.34725942e+00 
 2.20000000e+00  7.01146746e-01  9.99633879e+00 
 2.30000000e+00  7.03537098e-01  1.06464490e+01 
 2.40000000e+00  7.05790419e-01  1.12974718e+01 
 2.50000000e+00  7.07921584e-01  1.19493081e+01 
