-0.979	-1.066666667
-0.923	-1.026666667
-0.879	-1
-0.829	-0.9733333333
-0.777	-0.9466666667
-0.725	-0.9266666667
-0.673	-0.9133333333
-0.625	-0.9
-0.561	-0.88
-0.528	-0.8733333333
-0.479	-0.8666666667
-0.431	-0.86
-0.386	-0.8933333333
-0.329	-0.8933333333
-0.282	-0.8866666667
-0.229	-0.88
-0.168	-0.8733333333
-0.114	-0.8733333333
-0.079	-0.8666666667
-0.019	-0.8533333333
0	-0.8533333333
0.007	-0.8533333333
0.034	-0.8466666667
0.066	-0.8333333333
0.159	-0.7133333333
0.175	-0.6466666667
0.201	-0.5866666667
0.225	-0.4733333333
0.25	-0.36
0.271	-0.2266666667
0.29	-0.1266666667
0.305	0
0.312	0.05333333333
0.361	0.5066666667
0.39	0.82
0.443	1.453333333
0.485	1.993333333
0.54	2.78
0.576	3.326666667
0.642	4.373333333
0.68	5.98
0.735	7.493333333
0.773	8.526666667
0.817	9.666666667
0.881	12.10666667
0.92	14.02
