-0.977	-0.2466666667
-0.926	-0.2133333333
-0.881	-0.1866666667
-0.818	-0.1466666667
-0.772	-0.1266666667
-0.733	-0.1133333333
-0.693	-0.1
-0.64	-0.08
-0.59	-0.06666666667
-0.531	-0.06
-0.483	-0.04666666667
-0.428	-0.04
-0.38	-0.03333333333
-0.233	-0.02666666667
-0.276	-0.02666666667
-0.319	-0.02666666667
-0.198	-0.02
-0.134	-0.01333333333
-0.069	-0.006666666667
0.093	0.02
0.141	0.04
0.21	0.1333333333
0.293	0.4133333333
0.343	0.7266666667
0.401	1.226666667
0.457	1.833333333
0.513	2.52
0.541	2.926666667
0.587	3.593333333
0.632	4.366666667
0.678	5.1
0.717	5.833333333
0.773	6.82
0.826	7.953333333
0.891	9.446666667
0.921	10.72
0.964	12.26


































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































