0	0
7.01754386	0.00228
120.3703704	0.0351
175	0.04732
212	0.053
270.212766	0.05969
293.3333333	0.0594
355.8139535	0.06579
369.047619	0.0651
412.5	0.066
455.2631579	0.06574
547.0588235	0.06324
606.25	0.06208
653.3333333	0.0588
751.8518519	0.05481
870.8333333	0.05016
1028.571429	0.04536
1233.333333	0.03996
1506.666667	0.0339
1916.666667	0.0276
2330	0.0233
2975	0.01904
4016.666667	0.01446
4820	0.01205
6050	0.00968
7900	0.00711
11950	0.00478






































































































































































































































































































































































































































































































































































































































































































































































































































































































































