0.57	0
0.57	0.004
0.54	0.065
0.52	0.091
0.5	0.106
0.47	0.127
0.45	0.132
0.43	0.153
0.42	0.155
0.4	0.165
0.38	0.173
0.34	0.186
0.32	0.194
0.3	0.196
0.27	0.203
0.24	0.209
0.21	0.216
0.18	0.222
0.15	0.226
0.12	0.23
0.1	0.233
0.08	0.238
0.06	0.241
0.05	0.241
0.04	0.242
0.03	0.237
0.02	0.239






































































































































































































































































































































































































































































































































































































































































































































































































































































































































