750	-34.53997456	2.968805058
1000	-33.20103877	3.015928947
2500	-23.41903239	2.513274123
5000	-17.25945528	2.136283004
6000	-15.2196645	1.960353816
7000	-13.76839644	1.759291886
8000	-12.92527308	1.658760921
9000	-11.89996274	1.639911365
10000	-11.23885536	1.570796327
12500	-9.471519479	1.413716694
15000	-8.141667762	1.319468915
17500	-6.78976495	1.209513172
20000	-6.169080275	1.130973355
21000	-5.874615138	1.161132645
22000	-5.874615138	1.105840614
23000	-5.314040666	1.098300792
24000	-5.314040666	0.633345079
25000	-4.898281074	0.9424777961
26000	-4.63898153	0.9801769079
27000	-4.787461892	0.9500176184
28000	-4.63898153	0.9148317807
29000	-4.387198984	0.9475043443
30000	-3.90452539	0.9047786842
35000	-3.296204973	0.7916813487
40000	-3.076297287	0.8042477193
45000	-2.708083406	0.6785840132
50000	-2.498774732	0.6283185307
75000	-1.899510265	0.471238898
100000	-1.365296631	0.3769911184
250000	-1.023050449	0.1256637061
500000	-0.8439535959	0.1256637061
750000	-0.8439535959	0.09424777961
1000000	-0.5061173053	0.06283185307
2000000	-0.6815957914	0.05026548246
2500000	-0.8606926445	0
5000000	-0.7094463632	0
7500000	-0.537442928	0
10000000	-0.7396713251	-0.06283185307

