 1.00000000e+01 -1.20201310e+02  3.13961283e+00 
 1.07977516e+01 -1.18867978e+02  3.13945489e+00 
 1.16591440e+01 -1.17534646e+02  3.13928435e+00 
 1.25892541e+01 -1.16201315e+02  3.13910020e+00 
 1.35935639e+01 -1.14867984e+02  3.13890137e+00 
 1.46779927e+01 -1.13534653e+02  3.13868667e+00 
 1.58489319e+01 -1.12201323e+02  3.13845484e+00 
 1.71132830e+01 -1.10867993e+02  3.13820453e+00 
 1.84784980e+01 -1.09534664e+02  3.13793424e+00 
 1.99526231e+01 -1.08201335e+02  3.13764239e+00 
 2.15443469e+01 -1.06868007e+02  3.13732726e+00 
 2.32630507e+01 -1.05534681e+02  3.13698698e+00 
 2.51188643e+01 -1.04201355e+02  3.13661957e+00 
 2.71227258e+01 -1.02868031e+02  3.13622284e+00 
 2.92864456e+01 -1.01534708e+02  3.13579447e+00 
 3.16227766e+01 -1.00201387e+02  3.13533192e+00 
 3.41454887e+01 -9.88680674e+01  3.13483247e+00 
 3.68694506e+01 -9.75347506e+01  3.13429318e+00 
 3.98107171e+01 -9.62014365e+01  3.13371087e+00 
 4.29866235e+01 -9.48681256e+01  3.13308210e+00 
 4.64158883e+01 -9.35348184e+01  3.13240318e+00 
 5.01187234e+01 -9.22015156e+01  3.13167010e+00 
 5.41169527e+01 -9.08682179e+01  3.13087855e+00 
 5.84341413e+01 -8.95349260e+01  3.13002384e+00 
 6.30957344e+01 -8.82016410e+01  3.12910096e+00 
 6.81292069e+01 -8.68683641e+01  3.12810447e+00 
 7.35642254e+01 -8.55350965e+01  3.12702848e+00 
 7.94328235e+01 -8.42018398e+01  3.12586667e+00 
 8.57695899e+01 -8.28685958e+01  3.12461218e+00 
 9.26118728e+01 -8.15353666e+01  3.12325764e+00 
 1.00000000e+02 -8.02021548e+01  3.12179505e+00 
 1.07977516e+02 -7.88689631e+01  3.12021581e+00 
 1.16591440e+02 -7.75357948e+01  3.11851062e+00 
 1.25892541e+02 -7.62026540e+01  3.11666943e+00 
 1.35935639e+02 -7.48695451e+01  3.11468141e+00 
 1.46779927e+02 -7.35364734e+01  3.11253485e+00 
 1.58489319e+02 -7.22034451e+01  3.11021713e+00 
 1.71132830e+02 -7.08704674e+01  3.10771461e+00 
 1.84784980e+02 -6.95375488e+01  3.10501257e+00 
 1.99526231e+02 -6.82046988e+01  3.10209512e+00 
 2.15443469e+02 -6.68719291e+01  3.09894513e+00 
 2.32630507e+02 -6.55392528e+01  3.09554408e+00 
 2.51188643e+02 -6.42066855e+01  3.09187202e+00 
 2.71227258e+02 -6.28742451e+01  3.08790740e+00 
 2.92864456e+02 -6.15419529e+01  3.08362698e+00 
 3.16227766e+02 -6.02098331e+01  3.07900569e+00 
 3.41454887e+02 -5.88779146e+01  3.07401650e+00 
 3.68694506e+02 -5.75462304e+01  3.06863024e+00 
 3.98107171e+02 -5.62148195e+01  3.06281550e+00 
 4.29866235e+02 -5.48837270e+01  3.05653840e+00 
 4.64158883e+02 -5.35530055e+01  3.04976245e+00 
 5.01187234e+02 -5.22227164e+01  3.04244833e+00 
 5.41169527e+02 -5.08929310e+01  3.03455374e+00 
 5.84341413e+02 -4.95637324e+01  3.02603314e+00 
 6.30957344e+02 -4.82352173e+01  3.01683758e+00 
 6.81292069e+02 -4.69074982e+01  3.00691443e+00 
 7.35642254e+02 -4.55807059e+01  2.99620718e+00 
 7.94328235e+02 -4.42549926e+01  2.98465523e+00 
 8.57695899e+02 -4.29305351e+01  2.97219361e+00 
 9.26118728e+02 -4.16075386e+01  2.95875281e+00 
 1.00000000e+03 -4.02862415e+01  2.94425854e+00 
 1.07977516e+03 -3.89669201e+01  2.92863154e+00 
 1.16591440e+03 -3.76498946e+01  2.91178745e+00 
 1.25892541e+03 -3.63355359e+01  2.89363670e+00 
 1.35935639e+03 -3.50242725e+01  2.87408443e+00 
 1.46779927e+03 -3.37165995e+01  2.85303056e+00 
 1.58489319e+03 -3.24130874e+01  2.83036994e+00 
 1.71132830e+03 -3.11143929e+01  2.80599258e+00 
 1.84784980e+03 -2.98212700e+01  2.77978419e+00 
 1.99526231e+03 -2.85345822e+01  2.75162676e+00 
 2.15443469e+03 -2.72553158e+01  2.72139957e+00 
 2.32630507e+03 -2.59845935e+01  2.68898039e+00 
 2.51188643e+03 -2.47236880e+01  2.65424714e+00 
 2.71227258e+03 -2.34740362e+01  2.61707988e+00 
 2.92864456e+03 -2.22372512e+01  2.57736340e+00 
 3.16227766e+03 -2.10151335e+01  2.53499027e+00 
 3.41454887e+03 -1.98096785e+01  2.48986445e+00 
 3.68694506e+03 -1.86230801e+01  2.44190551e+00 
 3.98107171e+03 -1.74577277e+01  2.39105332e+00 
 4.29866235e+03 -1.63161960e+01  2.33727329e+00 
 4.64158883e+03 -1.52012250e+01  2.28056174e+00 
 5.01187234e+03 -1.41156883e+01  2.22095152e+00 
 5.41169527e+03 -1.30625498e+01  2.15851718e+00 
 5.84341413e+03 -1.20448066e+01  2.09337962e+00 
 6.30957344e+03 -1.10654194e+01  2.02570959e+00 
 6.81292069e+03 -1.01272317e+01  1.95572959e+00 
 7.35642254e+03 -9.23288177e+00  1.88371371e+00 
 7.94328235e+03 -8.38471057e+00  1.80998518e+00 
 8.57695899e+03 -7.58467278e+00  1.73491117e+00 
 9.26118728e+03 -6.83425681e+00  1.65889520e+00 
 1.00000000e+04 -6.13442053e+00  1.58236712e+00 
 1.07977516e+04 -5.48554835e+00  1.50577143e+00 
 1.16591440e+04 -4.88743370e+00  1.42955462e+00 
 1.25892541e+04 -4.33928843e+00  1.35415224e+00 
 1.35935639e+04 -3.83977844e+00  1.27997691e+00 
 1.46779927e+04 -3.38708201e+00  1.20740770e+00 
 1.58489319e+04 -2.97896569e+00  1.13678175e+00 
 1.71132830e+04 -2.61287138e+00  1.06838839e+00 
 1.84784980e+04 -2.28600790e+00  1.00246581e+00 
 1.99526231e+04 -1.99544101e+00  9.39200260e-01 
 2.15443469e+04 -1.73817676e+00  8.78727392e-01 
 2.32630507e+04 -1.51123467e+00  8.21135318e-01 
 2.51188643e+04 -1.31170857e+00  7.66468931e-01 
 2.71227258e+04 -1.13681431e+00  7.14735015e-01 
 2.92864456e+04 -9.83924717e-01  6.65907723e-01 
 3.16227766e+04 -8.50592871e-01  6.19934080e-01 
 3.41454887e+04 -7.34565271e-01  5.76739264e-01 
 3.68694506e+04 -6.33786671e-01  5.36231484e-01 
 3.98107171e+04 -5.46398375e-01  4.98306334e-01 
 4.29866235e+04 -4.70731667e-01  4.62850603e-01 
 4.64158883e+04 -4.05297815e-01  4.29745499e-01 
 5.01187234e+04 -3.48775887e-01  3.98869346e-01 
 5.41169527e+04 -2.99999354e-01  3.70099770e-01 
 5.84341413e+04 -2.57942221e-01  3.43315440e-01 
 6.30957344e+04 -2.21705267e-01  3.18397430e-01 
 6.81292069e+04 -1.90502756e-01  2.95230233e-01 
 7.35642254e+04 -1.63649911e-01  2.73702513e-01 
 7.94328235e+04 -1.40551276e-01  2.53707617e-01 
 8.57695899e+04 -1.20690068e-01  2.35143910e-01 
 9.26118728e+04 -1.03618529e-01  2.17914955e-01 
 1.00000000e+05 -8.89492603e-02  2.01929582e-01 
 1.07977516e+05 -7.63474982e-02  1.87101861e-01 
 1.16591440e+05 -6.55242687e-02  1.73351015e-01 
