 1.00000000e+02  2.60686632e+02 -1.95704557e-01 
 1.25892541e+02  2.60686547e+02 -2.46377359e-01 
 1.58489319e+02  2.60686410e+02 -3.10170557e-01 
 1.99526231e+02  2.60686195e+02 -3.90481273e-01 
 2.51188643e+02  2.60685853e+02 -4.91586153e-01 
 3.16227766e+02  2.60685311e+02 -6.18869014e-01 
 3.98107171e+02  2.60684452e+02 -7.79107363e-01 
 5.01187234e+02  2.60683091e+02 -9.80832939e-01 
 6.30957344e+02  2.60680934e+02 -1.23478530e+00 
 7.94328235e+02  2.60677515e+02 -1.55448221e+00 
 1.00000000e+03  2.60672096e+02 -1.95693650e+00 
 1.25892541e+03  2.60663509e+02 -2.46355598e+00 
 1.58489319e+03  2.60649900e+02 -3.10127139e+00 
 1.99526231e+03  2.60628334e+02 -3.90394650e+00 
 2.51188643e+03  2.60594162e+02 -4.91413341e+00 
 3.16227766e+03  2.60540021e+02 -6.18524282e+00 
 3.98107171e+03  2.60454259e+02 -7.78419760e+00 
 5.01187234e+03  2.60318452e+02 -9.79461714e+00 
 6.30957344e+03  2.60103502e+02 -1.23205162e+01 
 7.94328235e+03  2.59763554e+02 -1.54903501e+01 
 1.00000000e+04  2.59226589e+02 -1.94609059e+01 
 1.25892541e+04  2.58380087e+02 -2.44198687e+01 
 1.58489319e+04  2.57049732e+02 -3.05845906e+01 
 1.99526231e+04  2.54969081e+02 -3.81922274e+01 
 2.51188643e+04  2.51739556e+02 -4.74724915e+01 
 3.16227766e+04  2.46785300e+02 -5.85888206e+01 
 3.98107171e+04  2.39320477e+02 -7.15291564e+01 
 5.01187234e+04  2.28371771e+02 -8.59326069e+01 
 6.30957344e+04  2.12931508e+02 -1.00873021e+02 
 7.94328235e+04  1.92320966e+02 -1.14707729e+02 
 1.00000000e+05  1.66737323e+02 -1.25212573e+02 
 1.25892541e+05  1.37697791e+02 -1.30202662e+02 
 1.58489319e+05  1.07900250e+02 -1.28480919e+02 
 1.99526231e+05  8.03295542e+01 -1.20472249e+02 
 2.51188643e+05  5.71559932e+01 -1.07989971e+02 
 3.16227766e+05  3.92001077e+01 -9.33470645e+01 
 3.98107171e+05  2.61444757e+01 -7.85188378e+01 
 5.01187234e+05  1.70844000e+01 -6.47789017e+01 
 6.30957344e+05  1.09987302e+01 -5.27410566e+01 
 7.94328235e+05  6.99997602e+00 -4.25644851e+01 
 1.00000000e+06  4.41035910e+00 -3.41551096e+01 
 1.25892541e+06  2.74904272e+00 -2.73059945e+01 
 1.58489319e+06  1.68969603e+00 -2.17786909e+01 
 1.99526231e+06  1.01680647e+00 -1.73439807e+01 
 2.51188643e+06  5.90442752e-01 -1.37989384e+01 
 3.16227766e+06  3.20708835e-01 -1.09716284e+01 
 3.98107171e+06  1.50237429e-01 -8.71999306e+00 
 5.01187234e+06  4.25738116e-02 -6.92840775e+00 
 6.30957344e+06 -2.53849464e-02 -5.50361703e+00 
 7.94328235e+06 -6.82534462e-02 -4.37082697e+00 
 1.00000000e+07 -9.52632679e-02 -3.47025560e+00 
