 1.00000000e+02  6.75388090e+01 -3.43191190e-02 
 1.25892541e+02  6.75387988e+01 -4.32052044e-02 
 1.58489319e+02  6.75387827e+01 -5.43921168e-02 
 1.99526231e+02  6.75387571e+01 -6.84755921e-02 
 2.51188643e+02  6.75387165e+01 -8.62056113e-02 
 3.16227766e+02  6.75386522e+01 -1.08526331e-01 
 3.98107171e+02  6.75385503e+01 -1.36626351e-01 
 5.01187234e+02  6.75383888e+01 -1.72001974e-01 
 6.30957344e+02  6.75381328e+01 -2.16536835e-01 
 7.94328235e+02  6.75377271e+01 -2.72602089e-01 
 1.00000000e+03  6.75370841e+01 -3.43182432e-01 
 1.25892541e+03  6.75360651e+01 -4.32034572e-01 
 1.58489319e+03  6.75344501e+01 -5.43886307e-01 
 1.99526231e+03  6.75318907e+01 -6.84686366e-01 
 2.51188643e+03  6.75278347e+01 -8.61917341e-01 
 3.16227766e+03  6.75214074e+01 -1.08498645e+00 
 3.98107171e+03  6.75112232e+01 -1.36571118e+00 
 5.01187234e+03  6.74950888e+01 -1.71891797e+00 
 6.30957344e+03  6.74695331e+01 -2.16317089e+00 
 7.94328235e+03  6.74290697e+01 -2.72163901e+00 
 1.00000000e+04  6.73650387e+01 -3.42308971e+00 
 1.25892541e+04  6.72638050e+01 -4.30294431e+00 
 1.58489319e+04  6.71039816e+01 -5.40422594e+00 
 1.99526231e+04  6.68522272e+01 -6.77801516e+00 
 2.51188643e+04  6.64570664e+01 -8.48262206e+00 
 3.16227766e+04  6.58402509e+01 -1.05799610e+01 
 3.98107171e+04  6.48857575e+01 -1.31264634e+01 
 5.01187234e+04  6.34283539e+01 -1.61544037e+01 
 6.30957344e+04  6.12479079e+01 -1.96387224e+01 
 7.94328235e+04  5.80830876e+01 -2.34473961e+01 
 1.00000000e+05  5.36858774e+01 -2.72860933e+01 
 1.25892541e+05  4.79333413e+01 -3.06744422e+01 
 1.58489319e+05  4.09727847e+01 -3.30161068e+01 
 1.99526231e+05  3.33038189e+01 -3.37963133e+01 
 2.51188643e+05  2.56794757e+01 -3.28239780e+01 
 3.16227766e+05  1.88358267e+01 -3.03357096e+01 
 3.98107171e+05  1.32339426e+01 -2.68680963e+01 
 5.01187234e+05  8.98444274e+00 -2.30121250e+01 
 6.30957344e+05  5.94321683e+00 -1.92285246e+01 
 7.94328235e+05  3.85627821e+00 -1.57911910e+01 
 1.00000000e+06  2.46515639e+00 -1.28173127e+01 
 1.25892541e+06  1.55570936e+00 -1.03233371e+01 
 1.58489319e+06  9.68691683e-01 -8.27293749e+00 
 1.99526231e+06  5.92904855e-01 -6.60835525e+00 
 2.51188643e+06  3.53609910e-01 -5.26775376e+00 
 3.16227766e+06  2.01744847e-01 -4.19351578e+00 
 3.98107171e+06  1.05573951e-01 -3.33544754e+00 
 5.01187234e+06  4.47578876e-02 -2.65140404e+00 
 6.30957344e+06  6.33722249e-03 -2.10674811e+00 
 7.94328235e+06 -1.79141741e-02 -1.67337602e+00 
 1.00000000e+07 -3.32042755e-02 -1.32866222e+00 
