 1.00000000e+02  1.72791246e+00 -6.30665951e-04 
 1.25892541e+02  1.72791233e+00 -7.93961335e-04 
 1.58489319e+02  1.72791213e+00 -9.99537986e-04 
 1.99526231e+02  1.72791180e+00 -1.25834354e-03 
 2.51188643e+02  1.72791128e+00 -1.58416021e-03 
 3.16227766e+02  1.72791047e+00 -1.99433863e-03 
 3.98107171e+02  1.72790917e+00 -2.51072176e-03 
 5.01187234e+02  1.72790711e+00 -3.16080781e-03 
 6.30957344e+02  1.72790386e+00 -3.97921405e-03 
 7.94328235e+02  1.72789869e+00 -5.00951926e-03 
 1.00000000e+03  1.72789051e+00 -6.30658233e-03 
 1.25892541e+03  1.72787754e+00 -7.93945936e-03 
 1.58489319e+03  1.72785699e+00 -9.99507261e-03 
 1.99526231e+03  1.72782441e+00 -1.25828224e-02 
 2.51188643e+03  1.72777278e+00 -1.58403789e-02 
 3.16227766e+03  1.72769097e+00 -1.99409460e-02 
 3.98107171e+03  1.72756131e+00 -2.51023490e-02 
 5.01187234e+03  1.72735586e+00 -3.15983649e-02 
 6.30957344e+03  1.72703034e+00 -3.97727636e-02 
 7.94328235e+03  1.72651467e+00 -5.00565420e-02 
 1.00000000e+04  1.72569798e+00 -6.29887407e-02 
 1.25892541e+04  1.72440515e+00 -7.92409056e-02 
 1.58489319e+04  1.72235997e+00 -9.96444321e-02 
 1.99526231e+04  1.71912813e+00 -1.25218202e-01 
 2.51188643e+04  1.71402987e+00 -1.57190147e-01 
 3.16227766e+04  1.70600905e+00 -1.96998946e-01 
 3.98107171e+04  1.69344390e+00 -2.46248330e-01 
 5.01187234e+04  1.67389043e+00 -3.06562912e-01 
 6.30957344e+04  1.64377506e+00 -3.79259477e-01 
 7.94328235e+04  1.59812375e+00 -4.64710719e-01 
 1.00000000e+05  1.53056184e+00 -5.61283391e-01 
 1.25892541e+05  1.43404069e+00 -6.63893622e-01 
 1.58489319e+05  1.30287907e+00 -7.62709172e-01 
 1.99526231e+05  1.13626498e+00 -8.43318420e-01 
 2.51188643e+05  9.41840555e-01 -8.89977952e-01 
 3.16227766e+05  7.36221095e-01 -8.91815807e-01 
 3.98107171e+05  5.40194459e-01 -8.48365364e-01 
 5.01187234e+05  3.70953776e-01 -7.69821787e-01 
 6.30957344e+05  2.36902483e-01 -6.71786374e-01 
 7.94328235e+05  1.37788983e-01 -5.68939237e-01 
 1.00000000e+06  6.81768202e-02 -4.71509758e-01 
